"","id.exposure","id.outcome","outcome","exposure","method","Q","Q_df","Q_pval"
"29","C44iX7","d8pIgX","GCST012879","GCST90277252","MR Egger",10.621521228974,13,0.642490521830547
"30","C44iX7","d8pIgX","GCST012879","GCST90277252","Inverse variance weighted",10.7399207635188,14,0.706335708837039
"31","zUvvuF","0Lfo1A","GCST012879","GCST90277253","MR Egger",15.6368304269159,16,0.478581784087977
"32","zUvvuF","0Lfo1A","GCST012879","GCST90277253","Inverse variance weighted",15.7023256545172,17,0.545026725619992
"33","pUtC32","eTUAa0","GCST012879","GCST90277254","MR Egger",17.4208112590932,12,0.13444160827069
"34","pUtC32","eTUAa0","GCST012879","GCST90277254","Inverse variance weighted",18.42080692252,13,0.142185315509678
"35","e6wxaN","jvBUeO","GCST012879","GCST90277255","MR Egger",16.1752048062089,12,0.183342516988448
"36","e6wxaN","jvBUeO","GCST012879","GCST90277255","Inverse variance weighted",16.2412354783707,13,0.236348328344571
"37","o5dHP6","jvBUeO","GCST012879","GCST90277256","MR Egger",29.9753302468153,21,0.0924848625498845
"38","o5dHP6","jvBUeO","GCST012879","GCST90277256","Inverse variance weighted",29.9993573542463,22,0.118480032111833
"39","umulca","fvqlRI","GCST012879","GCST90277257","MR Egger",16.7447415427471,16,0.402297745117386
"40","umulca","fvqlRI","GCST012879","GCST90277257","Inverse variance weighted",17.1291879279254,17,0.445647319799484
"41","P8LXeu","eTUAa0","GCST012879","GCST90277258","MR Egger",7.95203345841005,6,0.241638569038951
"42","P8LXeu","eTUAa0","GCST012879","GCST90277258","Inverse variance weighted",8.07290539656547,7,0.326209126904603
"43","cAIiey","gmTfhF","GCST012879","GCST90277259","MR Egger",16.8044730907063,15,0.330686797058218
"44","cAIiey","gmTfhF","GCST012879","GCST90277259","Inverse variance weighted",17.9772040066286,16,0.325233542997843
"45","ttad1g","92ekkz","GCST012879","GCST90277260","MR Egger",15.1150733883878,11,0.177289202305207
"46","ttad1g","92ekkz","GCST012879","GCST90277260","Inverse variance weighted",15.2994086161593,12,0.225469614537281
"47","KV7BdP","IoEPey","GCST012879","GCST90277261","MR Egger",21.5858777229487,17,0.201174034796858
"48","KV7BdP","IoEPey","GCST012879","GCST90277261","Inverse variance weighted",21.6001564661263,18,0.250221556143945
"49","i0rose","0IzSjw","GCST012879","GCST90277262","MR Egger",24.0561693771113,21,0.290344921457583
"50","i0rose","0IzSjw","GCST012879","GCST90277262","Inverse variance weighted",24.517143300781,22,0.320717367469
"51","W4MeMk","fvqlRI","GCST012879","GCST90277263","MR Egger",8.38326441992985,12,0.754508388610302
"52","W4MeMk","fvqlRI","GCST012879","GCST90277263","Inverse variance weighted",9.77865065544566,13,0.711926958304991
"53","x2Q8VF","jvBUeO","GCST012879","GCST90277264","MR Egger",11.6748078419287,12,0.472136898348591
"54","x2Q8VF","jvBUeO","GCST012879","GCST90277264","Inverse variance weighted",12.6762616154198,13,0.473117551233856
"55","vp9BTH","jvBUeO","GCST012879","GCST90277265","MR Egger",12.4080813474262,13,0.494498349342528
"56","vp9BTH","jvBUeO","GCST012879","GCST90277265","Inverse variance weighted",12.5402835211474,14,0.562997642666829
"57","m958aS","0Lfo1A","GCST012879","GCST90277266","MR Egger",8.85350446291825,8,0.354804587402459
"58","m958aS","0Lfo1A","GCST012879","GCST90277266","Inverse variance weighted",9.21359958258054,9,0.417795434595009
"59","Zt77Ns","GSatlJ","GCST012879","GCST90277267","MR Egger",17.2652232293034,10,0.0686974347949209
"60","Zt77Ns","GSatlJ","GCST012879","GCST90277267","Inverse variance weighted",17.5033135837293,11,0.0938442618703362
"61","NYdqdr","8tm8lu","GCST012879","GCST90277268","MR Egger",21.8601037804749,10,0.0158333629736796
"62","NYdqdr","8tm8lu","GCST012879","GCST90277268","Inverse variance weighted",24.4000633437135,11,0.0111480474915059
"63","KsN3wf","8tm8lu","GCST012879","GCST90277250","MR Egger",27.1412143186973,17,0.0560290259893548
"64","KsN3wf","8tm8lu","GCST012879","GCST90277250","Inverse variance weighted",27.2809788652831,18,0.0738741117885862
"65","RTvsF8","0IzSjw","GCST012879","GCST90277288","MR Egger",12.5112103779892,10,0.252298064614557
"66","RTvsF8","0IzSjw","GCST012879","GCST90277288","Inverse variance weighted",14.5878065839271,11,0.202155465003404
"67","VDGwEH","8tm8lu","GCST012879","GCST90277298","MR Egger",31.8562551582528,23,0.103169934419561
"68","VDGwEH","8tm8lu","GCST012879","GCST90277298","Inverse variance weighted",34.4003560551451,24,0.0778010333249428
"69","u5hqzI","qdac6V","GCST012879","GCST90277305","MR Egger",10.4029356256326,11,0.494547938529632
"70","u5hqzI","qdac6V","GCST012879","GCST90277305","Inverse variance weighted",14.8704508826488,12,0.248597730660385
"71","NyaOUZ","IoEPey","GCST012879","GCST90277311","MR Egger",11.2589549052681,13,0.589133998996565
"72","NyaOUZ","IoEPey","GCST012879","GCST90277311","Inverse variance weighted",12.6071407622749,14,0.557663837608866
"73","mXzmYb","0Lfo1A","GCST012879","GCST90277330","MR Egger",3.64899157903144,9,0.93296118389812
"74","mXzmYb","0Lfo1A","GCST012879","GCST90277330","Inverse variance weighted",4.05908855990264,10,0.944642020061294
"75","qzc7HT","Tnn3eu","GCST012879","GCST90277336","MR Egger",12.3322691222647,9,0.1952190309536
"76","qzc7HT","Tnn3eu","GCST012879","GCST90277336","Inverse variance weighted",13.4128139665665,10,0.201497712594966
